,Unnamed: 0,temp,humidity,cloudcover,tempmax,tempmin,dew,solarradiation
305,305,50.4,65.3,82.9,87.5,33.2,38.6,263.4
306,306,47,60.6,16.7,95.1,31.2,32.6,350.8
307,307,47.6,58.9,39.1,89.3,31,33.3,343.8
308,308,54.3,58.9,19,98.3,36.2,38.6,376.6
309,309,54.5,54.8,16.1,99.8,36,36.8,364.6
310,310,54.5,58.5,15.7,100.7,37.5,38.6,339.2
311,311,53.5,60,21.5,101.6,37.3,38.1,287.3
312,312,55.8,54.7,17.8,100.5,36.8,37.9,375.5
313,313,58,54.2,19.9,101.6,39.1,40.1,352.4
314,314,64.9,54.5,27.1,102.3,40.9,45.4,331.1
315,315,58.7,67.5,33,97.1,40.7,46.5,326.5
316,316,54.6,69.5,41.4,91.5,39.5,44,269.3
317,317,52.4,69.6,54,83,38,42.5,334.5
318,318,52.8,78.8,92.8,77.1,40.9,46.2,221.6
319,319,55,75,51,91.5,41.1,46.3,330.9
320,320,58.1,70.1,47.6,96.9,42,47.5,351.5
321,321,60.3,70.2,33.7,96.5,43.6,49.8,363
322,322,55,62.8,9.5,97.1,40.4,41.7,373.2
323,323,61.1,68.8,30,95.1,44.5,50.1,347.9
324,324,60.3,74.1,57.3,84.5,45.4,51.8,328.9
325,325,65.4,70.7,43.7,98,46.5,54.2,338.8
326,326,63.3,73.2,52.6,95.6,48.3,53.8,317.8
327,327,62.5,76.4,63.8,89.7,48.6,54.3,314.5
328,328,60.8,81.7,66.8,94.9,51,54.6,294.8
329,329,63.1,85.5,73.9,97.4,51,58,258
330,330,62.7,84.7,82.8,96.2,48.8,57.3,231.3
331,331,62.5,81.5,81.4,91.5,50.3,56.4,248.8
332,332,59.9,89.6,80.4,81.8,50.8,56.8,239
333,333,56.9,86.8,79.3,80.7,47,52.8,183
334,334,60,80.5,78.1,86.2,45,53.5,347.1
335,335,60.4,74.8,44.9,89.7,46.1,52,357.7
336,336,58,68.7,17.5,94.4,44,47.1,351
337,337,57,70.5,32.9,95.1,45.4,46.9,336.5
338,338,56.3,75.3,33.4,96.2,45,47.9,348.9
339,339,51.7,80.3,40.3,72.2,44.1,45.7,322.3
340,340,56.3,74.6,54.7,89.9,43.8,47.9,315.4
341,341,58.2,69.3,26.7,95.1,43.8,47.5,357.5
342,342,62.8,67.7,37.3,96.2,47,51.4,351.7
343,343,62.6,66.9,32.6,98.9,47.7,50.7,339.5
344,344,63.9,73.5,40.6,93.5,48.8,54.5,339.3
345,345,63.7,75.6,59.8,97.1,49.7,54.9,290.3
346,346,64.3,72.2,39.5,98.7,49,54.1,343.2
347,347,61.4,72,44.5,97.1,49.7,51.5,320.4
348,348,64.4,78.9,57.9,95.6,52.2,56.7,318.6
349,349,65,79.7,74.4,93.5,51.5,57.8,272.2
350,350,62.9,82.6,85.7,92,51.9,57.1,235.8
351,351,65.1,77.9,75.7,95.3,52.2,57.2,304.6
352,352,64.8,74.3,72.1,95.3,52.1,55.8,290.2
353,353,64.5,74.7,38.3,96.9,49.7,55.5,308.9
354,354,65.5,80.4,72.2,97.1,53.3,58.6,245.2
355,355,64,87.2,78.7,96,53.7,59.6,179.7
356,356,66.2,82.9,66.7,95.3,53.3,60.2,276.5
357,357,64.3,85.1,82.6,91.5,52.8,59.5,228.1
358,358,65.2,85.8,85.3,96.9,53.5,60,226.8
359,359,60.6,89.3,84.8,86.1,49.2,57.2,90.3
360,360,61.1,80.9,55.1,88.4,47.9,54.7,247.5
361,361,57.5,90.6,94.9,80.9,49.7,54.6,161.1
362,362,60.7,88.6,84.3,89.7,50.8,56.9,138.8
363,363,62.8,78.7,72.3,93.3,48.8,55.6,264
364,364,55.1,86.1,73.1,90.6,51.9,57.5,264.8
