,temp,tempmax,tempmin,solarradiation,humidity,cloudcover,dew
341,84.1,87.8,80,50.3,81.7,85.7,77.9
342,82.4,84.5,80.1,86.4,82.8,91.3,76.6
343,84.9,89.6,81.4,40.7,76.5,90.3,76.6
344,87.1,95,82.2,91.5,74,84.9,77.5
345,85,90.1,80.5,33.9,76.4,87.6,76.6
346,84.7,90.4,80.6,21.3,74.9,90.8,75.7
347,86.9,93.2,82,129.6,70.6,78.7,76.1
348,88.4,93.2,82.4,227.5,66.5,71.3,75.8
349,88.4,93.9,84.2,180.3,66.1,78,75.5
350,88.2,96.8,79.5,185.8,68.4,75.5,76
351,88.3,95.9,81.9,261.7,67,64.5,75.6
352,88.6,96.8,84.2,240.5,66.1,85.3,75.6
353,89.1,95.2,82.4,128.6,66.6,84.4,76.2
354,89.6,96.8,84.2,162.5,62.8,85.7,75.1
355,89.7,95.6,82.4,148.4,58,82.5,72.8
356,89.5,96.8,82.4,192.3,64.7,71.9,75.8
357,90.3,98.6,83.5,220.9,68.1,71.5,77.8
358,91.1,98.6,86,145.6,61.3,64.8,75.6
359,90.1,98.6,84.2,137.4,64.2,85.6,76
360,88.1,95,81.2,116.7,68.7,82.7,76.2
361,88,96.8,77,198.5,69.9,68.7,76.4
362,85.5,100.4,78.7,240.4,79.6,82.1,77.9
363,82.3,91.4,77,215.5,86.2,92.3,77.5
364,84.2,96.1,76.9,106.6,80.3,79.9,77.1
365,82.6,89.5,76.9,146.8,85.3,81.2,77.6
366,83.7,93.1,78.7,158.4,81.6,88,77.3
